ep,organ,a_score,optimal_Np,oracle_dice,fob_10_dice,dice_0,dice_1,dice_2,dice_4,dice_6,dice_8,dice_10,dice_12,dice_16,dice_20,dice_24
10,spleen,0.734546858492866,6,0.17025685771936522,0.12590232689438238,0.13185235239462792,0.1375027526976437,0.15790006069188753,0.16744435505497451,0.17025685771936522,0.16343838341534916,0.12590232689438238,0.12590232689438238,0.12590232689438238,0.12590232689438238,0.12590232689438238
11,rk,0.712038396621028,0,0.08217233117401722,0.07028196273386209,0.08217233117401722,0.07175791390600178,0.07148371159487417,0.07413634362115208,0.07586122148035883,0.07094969926828334,0.07028196273386209,0.07028196273386209,0.07028196273386209,0.07028196273386209,0.07028196273386209
12,lk,0.8213825302286928,4,0.12283374595315177,0.07032655508913482,0.08006454816285997,0.08196721311475409,0.08902691511387163,0.12283374595315177,0.11131245146259384,0.11959948080845541,0.07032655508913482,0.07032655508913482,0.07032655508913482,0.07032655508913482,0.07032655508913482
13,liver,0.7609509330363693,10,0.1092634391266295,0.1092634391266295,0.0738848741589833,0.07431776169439484,0.07431776169439484,0.0751560470200564,0.09776202448172114,0.09776202448172114,0.1092634391266295,0.1092634391266295,0.1092634391266295,0.1092634391266295,0.1092634391266295
14,pancreas,0.8311839605920277,8,0.02214983713355049,0.02207314434105172,0.022014071739974963,0.02196855481369804,0.02196855481369804,0.02198749730545376,0.022055007784120395,0.02214983713355049,0.02207314434105172,0.02207314434105172,0.02207314434105172,0.02207314434105172,0.02207314434105172
15,spleen,0.7235839198425045,8,0.030928949929706934,0.014827487881380098,0.025506108980647462,0.025812274368231046,0.02606160014579916,0.028964958476807776,0.02962656031491169,0.030928949929706934,0.014827487881380098,0.014827487881380098,0.014827487881380098,0.014827487881380098,0.014827487881380098
16,rk,0.7597458249723308,0,0.0689546723277116,0.06855311498475729,0.0689546723277116,0.06853704282588309,0.06853704282588309,0.06853704282588309,0.0685263322394124,0.06845679494184685,0.06855311498475729,0.06855311498475729,0.06855311498475729,0.06855311498475729,0.06855311498475729
17,lk,0.6906915519670898,0,0.9218836565096953,0.05072287692868424,0.9218836565096953,0.05084178159344841,0.05084178159344841,0.051057845175492236,0.051143845894711056,0.05425424775023553,0.05072287692868424,0.05072287692868424,0.05072287692868424,0.05072287692868424,0.05072287692868424
18,liver,0.6646780158429715,10,0.4250704375099676,0.4250704375099676,0.4204216835795783,0.4199579831932773,0.4237863048547806,0.42377507486021676,0.4244949964165317,0.4246302541090253,0.4250704375099676,0.4250704375099676,0.4250704375099676,0.4250704375099676,0.4250704375099676
19,pancreas,0.8659080133032964,0,0.031069943840711836,0.0216112012987013,0.031069943840711836,0.02999366331056819,0.02999366331056819,0.03076256499133449,0.02706824247045368,0.030176383084224694,0.0216112012987013,0.0216112012987013,0.0216112012987013,0.0216112012987013,0.024322009705966315
20,spleen,0.7519199211325096,0,0.08384907167099222,0.01708150317227916,0.08384907167099222,0.017121193591781828,0.01708011386742578,0.01708706265256306,0.026714158504007122,0.026503439136745126,0.01708150317227916,0.01708150317227916,0.01708150317227916,0.01708150317227916,0.01708150317227916
21,rk,0.7761054936741965,4,0.051449174871723756,0.050366549008960086,0.048403405199125865,0.04909355564377398,0.050315318369837936,0.051449174871723756,0.05141174432703967,0.051209496531971425,0.050366549008960086,0.050366549008960086,0.050366549008960086,0.050366549008960086,0.050366549008960086
