ep,organ,a_score,optimal_Np,oracle_dice,fob_10_dice,dice_0,dice_1,dice_2,dice_4,dice_6,dice_8,dice_10,dice_12,dice_16,dice_20,dice_24
134,lk,0.7256805934446178,1,0.03717976384992447,0.03422927369227713,0.031714308254661164,0.03717976384992447,0.03613266620726848,0.03537071797278273,0.0351890756302521,0.036153246597517834,0.03422927369227713,0.03422927369227713,0.03422927369227713,0.03422927369227713,0.03422927369227713
135,liver,0.825813351989956,10,0.11300376473492563,0.11300376473492563,0.07431308088802305,0.105299479541076,0.10913425718968857,0.11170082967301123,0.1125833922587389,0.11278450214050324,0.11300376473492563,0.11300376473492563,0.11300376473492563,0.11300376473492563,0.11300376473492563
136,spleen,0.6478126662463033,4,0.09270774448841153,0.06730885299727192,0.06703050994157671,0.06714512788401329,0.06712734452122408,0.09270774448841153,0.06724391596922409,0.06730885299727192,0.06730885299727192,0.06730885299727192,0.06730885299727192,0.06730885299727192,0.06730885299727192
137,rk,0.7056010451005004,4,0.678671468587435,0.06952956120607047,0.06946299759551162,0.06953420993982616,0.06962576153176675,0.678671468587435,0.06965529558849795,0.06965529558849795,0.06952956120607047,0.06952956120607047,0.06952956120607047,0.06952956120607047,0.06952956120607047
138,lk,0.7209706782850009,8,0.0590746115758921,0.05876109200526472,0.058621712058960565,0.05886856656741812,0.05886856656741812,0.058853546521517267,0.058853546521517267,0.0590746115758921,0.05876109200526472,0.05876109200526472,0.05876109200526472,0.05876109200526472,0.05876109200526472
139,liver,0.8273139509602665,8,0.03154695866094255,0.028860156215524468,0.0288334362049202,0.0291067693266278,0.028920137967630672,0.02904988229023231,0.02915477888730385,0.03154695866094255,0.028860156215524468,0.028860156215524468,0.028860156215524468,0.028781410905250188,0.028781410905250188
140,spleen,0.7439349501573803,6,0.08178975222516238,0.07835229727783379,0.07779875293175448,0.07819462411959177,0.07930491573852702,0.07988721804511278,0.08178975222516238,0.08031891333234903,0.07835229727783379,0.07835229727783379,0.07835229727783379,0.07835229727783379,0.07835229727783379
141,rk,0.7872123195588527,6,0.011833972875596824,0.010064522557983109,0.00989662436921268,0.009887178483150192,0.011244711645513248,0.011676300578034681,0.011833972875596824,0.010003466547813599,0.010064522557983109,0.010064522557983109,0.010064522557983109,0.010064522557983109,0.009962762940494686
142,lk,0.7195724874149938,1,0.9214195183776933,0.10308424756779135,0.9206349206349206,0.9214195183776933,0.9215189873417722,0.9169859514687101,0.9145028499050032,0.09353869271224644,0.10308424756779135,0.10308424756779135,0.10308424756779135,0.10308424756779135,0.10308424756779135
143,liver,0.5907579694447573,2,0.780943484353106,0.7380952380952381,0.7716016859852476,0.7769965508092332,0.780943484353106,0.7414109459031952,0.7377699427060379,0.7391660884375197,0.7380952380952381,0.7380952380952381,0.7390728476821192,0.7390728476821192,0.7392593527222258
144,spleen,0.711467529082563,6,0.09143421752679182,0.08965568639141452,0.08946566020897631,0.08988008517314805,0.09038996168006612,0.09044432749417337,0.09143421752679182,0.09145159451138393,0.08965568639141452,0.08965568639141452,0.08965568639141452,0.08965568639141452,0.08965568639141452
145,rk,0.7391546329288656,4,0.06060064354665713,0.056855345911949684,0.043681345230808875,0.055926750804256374,0.058305026443651375,0.06060064354665713,0.05811262535356133,0.05811262535356133,0.056855345911949684,0.056855345911949684,0.056855345911949684,0.056855345911949684,0.056855345911949684
146,lk,0.7724820670159107,4,0.04198287265891527,0.03599462766751231,0.0,0.0,0.0,0.04198287265891527,0.04137079345476999,0.040984163664786244,0.03599462766751231,0.03599462766751231,0.03599462766751231,0.03599462766751231,0.03599462766751231
147,liver,0.7997048680260517,4,0.09241597388687714,0.0731839258114374,0.05818919168023595,0.08178228990411732,0.08178228990411732,0.09241597388687714,0.0796276708271631,0.07884111060233942,0.0731839258114374,0.0731839258114374,0.0731839258114374,0.0731839258114374,0.0731839258114374
148,spleen,0.7494975367772594,6,0.39575874414761775,0.23346872461413484,0.37741300065659883,0.34597327555074037,0.3617369414726243,0.38152130625248903,0.39575874414761775,0.2055941054438801,0.23346872461413484,0.23346872461413484,0.23346872461413484,0.17818835637671276,0.17818835637671276
149,rk,0.7040102203693119,1,0.9639575971731449,0.05285169695399534,0.961864406779661,0.9639575971731449,0.9638041163946061,0.9623312011371713,0.9554317548746518,0.05325576191541732,0.05285169695399534,0.05285169695399534,0.05285169695399534,0.05285169695399534,0.05285169695399534
150,lk,0.763235416036335,1,0.9519602429596907,0.0688098820175786,0.9504950495049505,0.9519602429596907,0.9519602429596907,0.0683471626882693,0.06829076620825147,0.06842519685039371,0.0688098820175786,0.0688098820175786,0.0688098820175786,0.0688098820175786,0.0688098820175786
151,liver,0.7216384187810277,4,0.5641455019071542,0.4697983110812695,0.46098877429490914,0.46421189619536096,0.46421189619536096,0.5641455019071542,0.524839882291847,0.48606620888663266,0.4697983110812695,0.4697983110812695,0.4697983110812695,0.4697983110812695,0.46421189619536096
