ep,organ,a_score,optimal_Np,oracle_dice,fob_10_dice,dice_0,dice_1,dice_2,dice_4,dice_6,dice_8,dice_10,dice_12,dice_16,dice_20,dice_24
10,aorta,0.7261926392754328,2,0.01693130976401439,0.01356861642294713,0.013618402483770815,0.013630906137439084,0.01693130976401439,0.013712742903833173,0.014541892706449669,0.01356861642294713,0.01356861642294713,0.01356861642294713,0.01356861642294713,0.0084141689373297,0.0084141689373297
11,ivc,0.8019705392738359,6,0.01569179701252326,0.008865903213889916,0.009713876521684983,0.013394007040439599,0.014413748498567865,0.01511481445596357,0.01569179701252326,0.009041381708589313,0.008865903213889916,0.008865903213889916,0.008865903213889916,0.008865903213889916,0.008865903213889916
12,gallbladder,0.7133032249146039,8,0.010888968225633702,0.010777861212951103,0.010576047852282085,0.010569176124057871,0.010760749724366041,0.010718207775093346,0.010689564531674406,0.010888968225633702,0.010777861212951103,0.010777861212951103,0.010777861212951103,0.010777861212951103,0.010777861212951103
13,stomach,0.7147889086604118,6,0.029386033782722806,0.028091092336063817,0.02100065727247952,0.02100065727247952,0.023150602622556818,0.028045386426889318,0.029386033782722806,0.029401202980518897,0.028091092336063817,0.028091092336063817,0.028091092336063817,0.026822276822276822,0.026822276822276822
14,aorta,0.7775692685197604,6,0.008057144791631403,0.007875057904837536,0.006913178609812066,0.006054593095728714,0.0061386087539655925,0.007296808412790876,0.008057144791631403,0.00796972842648093,0.007875057904837536,0.007875057904837536,0.007875057904837536,0.007885755939167025,0.007885755939167025
15,ivc,0.7742940644440126,2,0.01031706089582285,0.0075224756895602716,0.004762918933570834,0.010143493320138546,0.01031706089582285,0.007140991030218584,0.007211327060065078,0.007247017233760495,0.0075224756895602716,0.0075224756895602716,0.007392715470609448,0.007392715470609448,0.007392715470609448
16,gallbladder,0.795138400157509,10,0.008287495416208287,0.008287495416208287,0.0047084314256547015,0.006266810858774922,0.006748686096512183,0.006748686096512183,0.007478738541976902,0.007920375692156725,0.008287495416208287,0.008287495416208287,0.008287495416208287,0.005274827867895904,0.005274827867895904
17,stomach,0.7834707124375282,20,0.11896280341313893,0.09342875731945348,0.03507657734678424,0.051324207441295254,0.054748560753364595,0.07630991603783611,0.08527315914489311,0.08989608113183924,0.09342875731945348,0.09342875731945348,0.09342875731945348,0.11896280341313893,0.11896280341313893
18,aorta,0.6467846110603017,2,0.9653333333333334,0.020796835264198926,0.9526315789473684,0.9526315789473684,0.9653333333333334,0.9653333333333334,0.9551451187335093,0.9476439790575916,0.020796835264198926,0.020796835264198926,0.020796835264198926,0.020796835264198926,0.020796835264198926
19,ivc,0.8064500092136004,4,0.027694046721929162,0.01336849763550382,0.01113214691404771,0.024629303845187234,0.02602000177006815,0.027694046721929162,0.017431519032372823,0.019817997977755308,0.01336849763550382,0.01336849763550382,0.01336849763550382,0.01336849763550382,0.01336849763550382
20,gallbladder,0.7333852562014098,10,0.02586264211156173,0.02586264211156173,0.02392815402595805,0.02479918398571975,0.0249287064628793,0.02513650609027172,0.025411549516592632,0.02549315158267252,0.02586264211156173,0.02586264211156173,0.02586264211156173,0.02586264211156173,0.02586264211156173
21,stomach,0.6919419787025824,8,0.05374772303056199,0.05099252501072695,0.04682234934566257,0.04757544390476949,0.050037685285989446,0.04967265925387093,0.05200853026939983,0.05374772303056199,0.05099252501072695,0.05099252501072695,0.05099252501072695,0.0529513503924786,0.0529513503924786
